Year,China GDP per capita,Britain GDP per capita,Italy GDP per capita,Japan GDP per capita,India GDP per capita
1000," 1,312.2 ", 757.0 ," 1,430.6 ", 477.9 ,
1001," 1,311.4 ", 756.7 ," 1,431.3 ", 478.1 ,
1002," 1,310.6 ", 756.4 ," 1,431.9 ", 478.4 ,
1003," 1,309.8 ", 756.1 ," 1,432.5 ", 478.7 ,
1004," 1,309.0 ", 755.9 ," 1,433.1 ", 479.0 ,
1005," 1,308.2 ", 755.6 ," 1,433.8 ", 479.3 ,
1006," 1,307.4 ", 755.3 ," 1,434.4 ", 479.5 ,
1007," 1,306.6 ", 755.0 ," 1,435.0 ", 479.8 ,
1008," 1,305.8 ", 754.7 ," 1,435.7 ", 480.1 ,
1009," 1,305.0 ", 754.4 ," 1,436.3 ", 480.4 ,
1010," 1,304.2 ", 754.1 ," 1,436.9 ", 480.7 ,
1011," 1,303.4 ", 753.9 ," 1,437.6 ", 480.9 ,
1012," 1,302.6 ", 753.6 ," 1,438.2 ", 481.2 ,
1013," 1,301.8 ", 753.3 ," 1,438.8 ", 481.5 ,
1014," 1,301.1 ", 753.0 ," 1,439.5 ", 481.8 ,
1015," 1,300.3 ", 752.7 ," 1,440.1 ", 482.1 ,
1016," 1,299.5 ", 752.4 ," 1,440.7 ", 482.4 ,
1017," 1,298.7 ", 752.1 ," 1,441.4 ", 482.6 ,
1018," 1,297.9 ", 751.9 ," 1,442.0 ", 482.9 ,
1019," 1,297.1 ", 751.6 ," 1,442.6 ", 483.2 ,
1020," 1,296.3 ", 751.3 ," 1,443.2 ", 483.5 ,
1021," 1,295.5 ", 751.0 ," 1,443.9 ", 483.8 ,
1022," 1,294.7 ", 750.7 ," 1,444.5 ", 484.0 ,
1023," 1,293.9 ", 750.4 ," 1,445.1 ", 484.3 ,
1024," 1,293.1 ", 750.1 ," 1,445.8 ", 484.6 ,
1025," 1,292.3 ", 749.9 ," 1,446.4 ", 484.9 ,
1026," 1,291.5 ", 749.6 ," 1,447.0 ", 485.2 ,
1027," 1,290.8 ", 749.3 ," 1,447.7 ", 485.4 ,
1028," 1,290.0 ", 749.0 ," 1,448.3 ", 485.7 ,
1029," 1,289.2 ", 748.7 ," 1,448.9 ", 486.0 ,
1030," 1,288.4 ", 748.4 ," 1,449.6 ", 486.3 ,
1031," 1,287.6 ", 748.1 ," 1,450.2 ", 486.6 ,
1032," 1,286.8 ", 747.9 ," 1,450.8 ", 486.8 ,
1033," 1,286.0 ", 747.6 ," 1,451.5 ", 487.1 ,
