londonrealwage,
Year,London_craftsman_real_wage
1264,71.00840857
1265,65.07290457
1266,64.91105671
1267,66.35649483
1268,57.707258
1269,60.08239175
1270,56.32723562
1271,55.22195349
1272,58.88806653
1273,58.74659629
1274,54.46877368
1275,61.99721402
1276,56.85386906
1277,58.84669416
1278,62.18424873
1279,58.43446334
1280,59.91256521
1281,56.46107691
1282,55.41635246
1283,53.74527514
1284,60.54006698
1285,61.19443554
1286,62.12314167
1287,73.98356743
1288,69.65617505
1289,65.97977968
1290,52.14132045
1291,57.2845005
1292,56.62970816
1293,49.18108601
1294,45.9142033
1295,52.65084279
1296,60.58318674
1297,56.33194853
1298,57.24727354
1299,53.61053171
1300,58.199525
1301,64.47486634
1302,62.87094792
1303,66.46995809
1304,60.45266369
1305,65.33167434
1306,70.21952444
1307,66.24555476
1308,57.32095839
1309,54.64971249
1310,58.17329041
1311,70.02429125
1312,70.90456968
1313,68.33469572
1314,58.78086391
1315,41.62858476
1316,41.54996921
1317,57.73991423
1318,70.53334001
1319,73.41264726
1320,66.52073849
1321,50.13115876
1322,54.17062176
1323,62.48923851
1324,64.13670231
1325,69.68945921
1326,80.16355161
1327,80.21080538
1328,68.46643508
1329,67.15892472
1330,59.82658826
1331,62.96961299
1332,75.50084009
1333,77.63292207
1334,77.76838641
1335,71.73001037
1336,74.63331013
1337,84.09557538
1338,80.02483653
1339,68.77950388
1340,79.07145565
1341,68.68349089
1342,67.46738264
1343,60.41145256
1344,65.73227055
1345,63.93039611
1346,52.99588329
1347,51.88061408
1348,61.69252458
1349,55.92954323
1350,46.4713447
1351,52.42472303
1352,57.89155763
1353,71.37538986
1354,68.20388048
1355,66.52016161
1356,62.77702479
1357,64.28378442
1358,69.02231482
1359,63.16381005
1360,61.97137797
1361,76.98615079
1362,71.92944492
1363,72.3676616
1364,74.8686543
1365,82.92538213
1366,77.43266938
1367,72.8907357
1368,75.70782788
1369,57.48793701
1370,64.57043968
1371,74.16673273
1372,73.69586108
1373,79.53266148
1374,73.41692025
1375,74.83424392
1376,84.65116436
1377,94.10658285
1378,94.28157385
1379,82.39515358
1380,80.41869203
1381,81.98826544
1382,80.84313817
1383,81.10268355
1384,79.51036944
1385,81.1350775
1386,88.99744868
1387,94.32603986
1388,97.01402907
1389,85.05882176
1390,73.33401474
1391,84.33110021
1392,93.37319513
1393,89.66246503
1394,94.08780265
1395,86.80001863
1396,80.05777611
1397,81.84232355
1398,84.72395796
1399,84.6480092
1400,74.44505207
1401,76.13531634
1402,78.67276856
1403,96.95381621
1404,96.25122073
1405,102.0899653
1406,94.97774418
1407,92.12741487
1408,79.69784119
1409,77.17195412
1410,90.89267814
1411,93.88685879
1412,86.68678005
1413,95.43471225
1414,94.6607853
1415,88.58381186
1416,83.72705364
1417,95.04080312
1418,91.30661596
1419,99.0562255
1420,96.51300955
1421,97.99434388
1422,100.3668892
1423,101.7742862
1424,93.99881472
1425,102.1522227
1426,104.6548166
1427,102.9215589
1428,79.4219245
1429,80.10958325
1430,89.10879139
1431,93.68864575
1432,84.2486931
1433,89.05690697
1434,92.18570747
1435,92.87115047
1436,91.88640372
1437,78.41576394
1438,64.48142426
1439,80.99407115
1440,97.59336928
1441,97.30981811
1442,95.2435126
1443,95.9563883
1444,100.9452476
1445,86.29692626
1446,92.92629635
1447,93.39506422
1448,93.48934555
1449,95.9405829
1450,87.41418121
1451,90.81920961
1452,94.58480885
1453,95.3561215
1454,101.5456205
1455,96.84738326
1456,97.4367334
1457,92.98484358
1458,94.98222136
1459,96.56134989
1460,87.76086538
1461,86.28445528
1462,103.4993409
1463,104.0526643
1464,98.4036315
1465,95.57318519
1466,94.26099313
1467,93.96877838
1468,94.00962507
1469,91.04824905
1470,90.98819319
1471,91.27703966
1472,101.1727884
1473,101.1061046
1474,97.39890449
1475,95.7718804
1476,97.59667401
1477,90.46919984
1478,87.61772821
1479,91.79078435
1480,88.94152567
1481,79.12358015
1482,73.58902818
1483,85.39625387
1484,94.90145843
1485,99.09143747
1486,94.24356912
1487,93.26686268
1488,93.71323816
1489,92.36459762
1490,94.00976061
1491,92.15531658
1492,100.9720404
1493,102.5770951
1494,100.5853748
1495,99.41372545
1496,94.66392386
1497,97.75111493
1498,93.9787795
1499,97.84106182
1500,89.83403066
1501,82.11127159
1502,83.42778259
1503,88.71475494
1504,93.02980586
1505,96.60437588
1506,95.61404173
1507,94.4012159
1508,97.33316769
1509,104.1595311
1510,101.6135426
1511,91.6910386
1512,80.02162392
1513,89.48619183
1514,91.39017737
1515,86.69240507
1516,87.99099183
1517,85.3522277
1518,86.62687898
1519,79.80244219
1520,76.58343826
1521,82.53294453
1522,89.22668906
1523,92.5644444
1524,89.78865014
1525,88.78014056
1526,82.47808252
1527,64.45200083
1528,76.85049491
1529,77.86266928
1530,79.02181187
1531,75.47668561
1532,79.12886297
1533,80.7157322
1534,85.78346537
1535,71.7021382
1536,70.58024674
1537,82.56850841
1538,79.17639899
1539,84.62088962
1540,85.4748037
1541,73.03206235
1542,72.75190969
1543,70.57557226
1544,74.51571602
1545,65.80028079
1546,74.27602301
1547,80.68918125
1548,70.82967709
1549,58.17919092
1550,57.13688656
1551,75.92207275
1552,77.31860195
1553,76.15382993
1554,67.63263677
1555,52.8619872
1556,55.3560186
1557,75.92635238
1558,75.79212153
1559,68.92360935
1560,64.44326447
1561,71.91857342
1562,56.39111296
1563,75.12319501
1564,75.29643846
1565,68.22451884
1566,76.06860083
1567,76.41761366
1568,70.62812414
1569,77.0818254
1570,76.60675015
1571,72.16328844
1572,67.77973075
1573,54.0524272
1574,71.68426173
1575,76.89846843
1576,70.24820444
1577,74.28036355
1578,80.7131924
1579,80.67122901
1580,77.3456978
1581,78.23676271
1582,78.25097712
1583,79.05143688
1584,78.73106622
1585,62.45667251
1586,51.2147066
1587,77.1235041
1588,79.02854051
1589,68.83037161
1590,63.545067
1591,75.18472328
1592,72.4448611
1593,69.66658033
1594,49.25967179
1595,49.42093435
1596,41.79573983
1597,47.4774929
1598,62.09919824
1599,58.77590646
1600,57.71523451
1601,63.68324403
1602,69.91162525
1603,68.15022701
1604,62.7994481
1605,64.82937062
1606,62.99803174
1607,55.02477932
1608,56.37130252
1609,65.14918635
1610,64.11868985
1611,55.29318701
1612,55.8911832
1613,54.6629567
1614,57.4208997
1615,54.78263058
1616,55.91741298
1617,54.94370794
1618,63.05442023
1619,65.48726488
1620,77.53951866
1621,66.58485114
1622,61.76934794
1623,64.43731397
1624,62.17411982
1625,64.16034791
1626,74.07310349
1627,80.33207963
1628,71.14560992
1629,59.73606842
1630,64.98157607
1631,74.37631763
1632,71.64412541
1633,73.27158025
1634,73.58210625
1635,71.70213365
1636,73.26621101
1637,64.84873252
1638,77.7756238
1639,84.42831894
1640,75.44493794
1641,80.44909937
1642,80.05405019
1643,81.94519596
1644,82.85153113
1645,76.61520811
1646,69.21368366
1647,56.25578137
1648,56.6520078
1649,54.58940912
1650,62.57957125
1651,69.97720693
1652,80.54240492
1653,88.1655842
1654,89.78809628
1655,77.61488682
1656,73.93400307
1657,63.89503796
1658,63.73215918
1659,65.07846346
1660,78.19631244
1661,66.8186036
1662,86.32038465
1663,87.34689281
1664,89.53873179
1665,94.72878258
1666,102.87336
1667,99.44185336
1668,89.21550322
1669,93.03302809
1670,76.49773567
1671,76.38971048
1672,74.82688781
1673,64.01476241
1674,65.24002308
1675,76.85834538
1676,78.18071855
1677,67.88577502
1678,64.7647075
1679,73.26682736
1680,71.58046188
1681,75.41908272
1682,74.14458542
1683,75.42128223
1684,68.87136569
1685,80.18671863
1686,77.48310416
1687,81.96225146
1688,83.33671894
1689,76.84439375
1690,80.03091873
1691,71.70582076
1692,63.70066385
1693,59.41210257
1694,73.16638924
1695,65.12509672
1696,65.14021505
1697,61.14356503
1698,64.46410358
1699,72.83431914
1700,78.50189028
1701,79.96039509
1702,81.39269616
1703,73.58732229
1704,80.34019149
1705,83.59440247
1706,84.46754746
1707,80.63297414
1708,66.31833601
1709,58.67532304
1710,67.97248249
1711,70.9151406
1712,73.95507939
1713,70.62821389
1714,78.0551175
1715,73.84245859
1716,74.45747485
1717,78.92829467
1718,83.25322762
1719,78.83029147
1720,77.79406165
1721,80.14108796
1722,78.84479291
1723,77.9805743
1724,74.20039831
1725,70.4911787
1726,75.5198592
1727,67.59833784
1728,68.9841318
1729,78.52170724
1730,80.99116864
1731,85.06912079
1732,84.48543336
1733,80.265056
1734,77.69820337
1735,76.98844455
1736,91.37741164
1737,95.47396032
1738,92.85857281
1739,82.83236509
1740,79.76031182
1741,91.45766296
1742,97.35152884
1743,99.04980969
1744,98.84304546
1745,91.07678594
1746,90.96758074
1747,91.79609759
1748,90.93117193
1749,91.73219253
1750,93.72070116
1751,89.48452965
1752,88.31865137
1753,89.67584494
1754,94.1391036
1755,88.90448314
1756,73.79727973
1757,79.50359805
1758,85.49854237
1759,90.09882874
1760,90.42810535
1761,95.86636089
1762,91.06992074
1763,89.24913148
1764,83.46472639
1765,76.64974647
1766,78.6897168
1767,71.02519663
1768,73.01574013
1769,80.86249538
1770,79.33245662
1771,74.05147148
1772,67.85668105
1773,67.80428277
1774,69.19318371
1775,69.6465093
1776,83.09143242
1777,77.31767613
1778,79.73518993
1779,84.6357562
1780,85.96491229
1781,79.13862723
1782,79.67479679
1783,80.43775654
1784,82.35294122
1785,84.84848486
1786,86.59793817
1787,84.72622484
1788,81.89415045
1789,80.76923082
1790,77.26675426
1791,79.24528308
1792,80.76923082
1793,76.1658031
1794,73.40823972
1795,62.95503214
1796,62.93577984
1797,77.63490242
1798,80.36446469
1799,73.79518073
1800,58.2178218
1801,58.15384617
1802,77.21789886
1803,79.77889447
1804,77.29577464
1805,71.94127246
1806,76.82926828
1807,80.47445261
1808,75.77319587
1809,74.00457667
1810,78.45811713
1811,66.72035141
1812,69.40327871
1813,70.79598664
1814,81.72972978
1815,90.50373137
1816,80.24813898
1817,76.2735849
1818,81.80438451
1819,77.70925116
1820,81.21546965
1821,86.98224856
1822,93.82978728
1823,92.06680588
1824,87.93619146
1825,83.60189574
1826,89.63414641
1827,91.30434783
1828,91.68399171
1829,87.58689182
1830,90.27635623
1831,89.27125513
1832,93.23467231
1833,96.39344266
1834,98.54748607
1835,104.1322314
1836,96.92307694
1837,91.49377599
1838,89.27125513
1839,83.20754721
1840,84.00000002
1841,86.30136987
1842,89.81670061
1843,98.65771819
1844,95.24838019
1845,96.49890593
1846,85.05303761
1847,76.03448277
1848,90.64748206
1849,94.13020279
1850,100
1851,104.6263345
1852,102.9171529
1853,97.31193585
1854,89.58448757
1855,88.119891
1856,88.28025478
1857,91.18421054
1858,101.8048269
1859,101.1678832
1860,93.55834138
1861,95.00786912
1862,95.27777781
1863,100.1127695
1864,101.7323896
1865,107.370518
1866,107.3638345
1867,99.55555558
1868,103.312369
1869,112.7320262
1870,112.1821139
1871,109.1042697
1872,111.189577
1873,116.8816348
1874,122.3949195
1875,124.2707037
1876,124.0330924
1877,124.1517844
1878,127.9473518
1879,134.0274945
1880,131.3143873
1881,133.0652458
1882,132.7928502
1883,132.7928502
1884,137.4349732
1885,142.413408
1886,143.6750993
1887,146.5973047
1888,146.9293484
1889,145.7737244
1890,145.1214929
1891,143.994023
1892,143.3575853
1893,152.3612067
1894,156.4171184
1895,158.6201764
1896,158.9934004
1897,155.8758827
1898,153.0514046
1899,164.9359454
1900,158.5852765
1901,159.1103933
1902,159.1103933
1903,157.3733803
1904,157.8904888
1905,157.3733803
1906,157.545373
1907,155.0043186
1908,153.0297413
1909,152.7055257
1910,149.5373613
1911,149.2277602
1912,145.0241613
1913,144.1540163
1914,156.2269152
1915,134.5389434
1916,117.1546979
1917,107.9245418
1918,108.499148
1919,145.4937683
1920,177.0249256
1921,166.5488128
1922,165.1705778
1923,174.5198559
1924,188.6059955
1925,188.6059955
1926,192.1984906
1927,197.8513874
1928,199.810312
1929,201.8084151
1930,204.3777353
1931,211.7742628
1932,216.5873142
1933,217.6365261
1934,215.1058688
1935,225.5202596
1936,224.2315724
1937,220.653409
1938,224.2315724
1939,227.7351907
1940,210.2170991
1941,203.846884
1942,206.7709172
1943,217.7455352
1944,223.3200619
1945,230.5606893
1946,266.727072
1947,293.851859
1948,276.1060406
1949,273.1935296
1950,270.4248464
1951,267.8332005
1952,265.6690425
1953,270.5839198
1954,281.0687309
1955,289.306053
1956,301.7509494
1957,304.0465241
1958,306.2928478
1959,311.6629725
1960,328.2974931
1961,353.920712
1962,357.9954571
1963,359.2147018
1964,381.2090657
1965,396.9862989
1966,408.6605948
1967,422.5736512
1968,430.5469384
1969,432.3255048
1970,451.9844008
1971,468.2407205
1972,532.6311901
1973,554.3558677
1974,563.2238049
1975,580.8495185
1976,552.5390699
1977,523.9979796
1978,539.5369347
1979,547.6935159
1980,570.8390246
1981,549.4859862
1982,548.4742214
1983,561.0286723
1984,567.7974516
1985,571.0957498
1986,589.8281283
1987,606.4975866
1988,633.6177081
1989,641.2936567
1990,637.4667885
1991,636.1362373
1992,661.1793667
1993,655.3990672
1994,644.6479473
1995,664.1436905
1996,670.6210065
1997,666.2924111
1998,654.994775
1999,680.9715157
2000,702.924308
2001,732.8025551
