year,hour,,lnhour,hour_h2,lnhour_h2,id,name
1900,2385,,7.777,2385,7.777,12,AUS
1913,2345,,7.76,2214,7.703,12,AUS
1929,2200,,7.696,2186,7.69,12,AUS
1938,2164,,7.68,2109,7.654,12,AUS
1950,2023,,7.612,2023,7.612,12,AUS
1960,1945,,7.573,1945,7.573,12,AUS
1973,1880,,7.539,1837,7.516,12,AUS
1980,1815,,7.504,1815,7.504,12,AUS
1990,1806,,7.499,1806,7.499,12,AUS
2000,1797,2036.000,7.494,1797,7.494,12,AUS
1900,2985,,8.001,3102,8.04,13,CAN
1913,2587,,7.858,2868,7.961,13,CAN
1929,2287,,7.735,2354,7.764,13,CAN
1938,2250,,7.719,2212,7.702,13,CAN
1950,2090,,7.645,2111,7.655,13,CAN
1960,1994,,7.598,2014,7.608,13,CAN
1973,1899,,7.549,1874,7.536,13,CAN
1980,1806,,7.499,1825,7.509,13,CAN
1990,1799,,7.495,1830,7.512,13,CAN
2000,1789,2148.600,7.489,1825,7.509,13,CAN
1900,3005,,8.008,3115,8.044,3,FRA
1913,2800,,7.937,2933,7.984,3,FRA
1929,2260,,7.723,2198,7.695,3,FRA
1938,1792,,7.491,1760,7.473,3,FRA
1950,2045,,7.623,2045,7.623,3,FRA
1960,2025,,7.613,2025,7.613,3,FRA
1973,1849,,7.522,1849,7.522,3,FRA
1980,1696,,7.436,1696,7.436,3,FRA
1990,1558,,7.351,1558,7.351,3,FRA
2000,1540,2057.000,7.34,1443,7.274,3,FRA
1900,2820,,7.944,3056,8.025,4,GER
1913,2810,,7.941,2723,7.909,4,GER
1929,2299,,7.74,2128,7.663,4,GER
1938,2268,,7.727,2187,7.69,4,GER
1950,2372,,7.771,2372,7.771,4,GER
1960,2152,,7.674,2144,7.67,4,GER
1973,1848,,7.522,1808,7.5,4,GER
1980,1723,,7.452,1696,7.436,4,GER
1990,1616,,7.388,1541,7.34,4,GER
2000,1532,2144.000,7.334,1463,7.288,4,GER
1900,,,,,,16,JPN
1913,2588,,7.859,2588,7.859,16,JPN
1929,2364,,7.768,2364,,16,JPN
1938,2391,,7.779,2391,,16,JPN
1950,2166,,7.681,2166,7.681,16,JPN
1960,2095,,7.647,2095,,16,JPN
1973,2042,,7.622,2042,7.622,16,JPN
1980,2000,,7.601,2000,,16,JPN
1990,1951,,7.576,1951,7.576,16,JPN
2000,1780,2152.997,7.484,1780,7.472,16,JPN
1900,3210,,8.074,3037,8.019,7,NET
1913,2929,,7.982,2942,7.987,7,NET
1929,2371,,7.771,2233,7.711,7,NET
1938,2201,,7.697,2281,7.732,7,NET
1950,2156,,7.676,2156,7.676,7,NET
1960,2002,,7.602,2002,7.602,7,NET
1973,1709,,7.444,1709,7.444,7,NET
1980,1569,,7.358,1667,7.419,7,NET
1990,1414,,7.254,1414,7.254,7,NET
2000,1347,2090.800,7.206,1352,7.209,7,NET
1900,3300,,8.102,2745,7.918,15,SWE
1913,2878,,7.965,2745,7.918,15,SWE
1929,2275,,7.73,2152,7.674,15,SWE
1938,2185,,7.689,2131,7.664,15,SWE
1950,2038,,7.62,2009,7.605,15,SWE
1960,1905,,7.552,1902,7.551,15,SWE
1973,1641,,7.403,1683,7.428,15,SWE
1980,1503,,7.315,1523,7.328,15,SWE
1990,1546,,7.343,1550,7.346,15,SWE
2000,1623,2089.400,7.392,1645,7.405,15,SWE
1900,2955,,7.991,2834,7.949,10,SWI
1913,2925,,7.981,2704,7.902,10,SWI
1929,2318,,7.748,2281,7.732,10,SWI
1938,2226,,7.708,2085,7.643,10,SWI
1950,2092,,7.646,2092,7.646,10,SWI
1960,2015,,7.608,1952,7.577,10,SWI
1973,1883,,7.541,1835,7.515,10,SWI
1980,1821,,7.507,1721,7.451,10,SWI
1990,1641,,7.403,1617,7.388,10,SWI
2000,1589,2146.500,7.371,1597,7.376,10,SWI
1900,2510,,7.828,2656,7.885,11,UK
1913,2475,,7.814,2656,7.885,11,UK
1929,2213,,7.702,2257,7.722,11,UK
1938,2151,,7.674,2200,7.696,11,UK
1950,2112,,7.655,2112,7.655,11,UK
1960,2134,,7.666,2134,7.666,11,UK
1973,1919,,7.56,1919,7.56,11,UK
1980,1758,,7.472,1758,7.472,11,UK
1990,1698,,7.437,1698,7.437,11,UK
2000,1653,2062.300,7.41,1653,7.41,11,UK
1900,2795,,7.936,2938,7.985,14,US
1913,2630,,7.875,2900,7.972,14,US
1929,2271,,7.728,2316,7.748,14,US
1938,1928,,7.564,1756,7.471,14,US
1950,2166,,7.681,2008,7.605,14,US
1960,1967,,7.584,2033,7.617,14,US
1973,1882,,7.54,1942,7.571,14,US
1980,1831,,7.513,1853,7.525,14,US
1990,1819,,7.506,1840,7.518,14,US
2000,1879,2116.800,7.538,1878,7.538,14,US
