Yaer,Canada: Top 1%,Canada: Top 0.1%,Australia: Top 1%,Australia: Top 0.1%,New Zealand: Top 1%,New Zealand: 0.1%,Denmark: 1%,Denmark: 0.1%,Italy: Top 1%,Italy: Top 0.1%,Holland: Top 1%,Holland: 0.1%,Spain: Top 1%,Spain: Top 0.1%
2010-12-31,12.3,4.37,,,,,6.41,1.86,,,,,,
2009-12-31,12.3,4.37,9.215,3.245,8.22,,5.44,1.36,9.38,2.7,,,8.48,2.62
2008-12-31,13.06,4.91,8.59,2.91,8.89,,6.05,1.71,9.66,2.88,,,8.61,2.66
2007-12-31,13.72,5.34,9.84,3.58,8.54,,6.12,1.8,9.86,3.05,,,8.89,2.83
2006-12-31,13.72,5.38,10.06,3.65,8.89,,5.91,1.67,9.72,3.02,,,9.0,2.8
2005-12-31,13.1,4.97,9.12,3.05,9.48,,5.78,1.58,9.35,2.77,,,8.67,2.58
2004-12-31,12.66,4.68,8.89,2.93,9.93,,5.57,1.43,9.28,2.7,,,8.55,2.46
2003-12-31,12.28,4.44,9.18,2.89,9.33,,5.5,1.37,9.36,2.75,,,8.46,2.41
2002-12-31,12.35,4.49,8.79,2.68,8.78,,5.55,1.39,9.28,2.68,,,8.34,2.33
2001-12-31,12.7,4.78,8.31,2.51,8.72,,5.62,1.41,9.28,2.65,,,8.57,2.45
2000-12-31,12.78,4.93,9.03,3.06,8.34,,5.73,1.51,9.09,2.49,,,8.65,2.51
1999-12-31,12.03,4.39,8.84,3.04,10.77,,5.47,1.35,8.82,2.38,5.38,1.08,8.5,2.38
1998-12-31,11.78,4.2,7.84,2.37,10.21,,5.4,1.34,8.74,2.35,5.29,1.0,8.08,2.14
1997-12-31,11.26,3.88,7.81,2.32,9.16,,5.24,1.24,,,5.46,1.11,7.91,2.04
1996-12-31,10.49,3.42,7.24,2.07,8.92,,5.12,1.22,,,5.39,1.06,7.89,1.97
1995-12-31,10.0,3.13,7.23,2.14,8.98,,5.03,1.18,8.13,2.07,5.37,1.0,7.88,1.96
1994-12-31,9.59,2.94,7.13,2.56,9.0,,5.0,1.16,7.99,2.0,5.33,1.0,7.89,1.95
1993-12-31,9.56,2.97,6.96,2.08,8.76,,5.13,1.25,7.92,1.97,5.24,0.98,7.83,1.92
1992-12-31,9.31,2.82,6.55,1.87,8.4,,5.02,1.18,7.81,1.9,5.5,1.14,8.2,2.06
1991-12-31,9.36,2.91,6.41,1.81,7.96,,5.01,1.19,7.84,1.92,5.54,1.14,8.08,2.03
1990-12-31,9.35,2.98,6.34,1.79,8.21,,5.17,1.26,7.78,1.92,5.56,1.09,8.36,2.14
