Date,Value
2010-12-31,47.9
2009-12-31,46.5
2008-12-31,48.23
2007-12-31,49.74
2006-12-31,49.32
2005-12-31,48.33
2004-12-31,46.4
2003-12-31,44.53
2002-12-31,43.82
2001-12-31,44.82
2000-12-31,47.61
1999-12-31,46.47
1998-12-31,45.39
1997-12-31,44.64
1996-12-31,43.48
1995-12-31,42.11
1994-12-31,40.78
1993-12-31,40.68
1992-12-31,40.82
1991-12-31,39.55
1990-12-31,39.98
1989-12-31,40.08
1988-12-31,40.63
1987-12-31,38.25
1986-12-31,40.63
1985-12-31,37.56
1984-12-31,36.74
1983-12-31,36.38
1982-12-31,35.33
1981-12-31,34.54
1980-12-31,34.63
1979-12-31,34.21
1978-12-31,33.49
1977-12-31,33.58
1976-12-31,33.41
1975-12-31,33.43
1974-12-31,33.31
1973-12-31,33.33
1972-12-31,33.59
1971-12-31,33.34
1970-12-31,32.63
1969-12-31,33.93
1968-12-31,34.85
1967-12-31,34.44
1966-12-31,33.67
1965-12-31,34.78
1964-12-31,34.42
1963-12-31,33.78
1962-12-31,33.7
1961-12-31,34.25
1960-12-31,33.48
1959-12-31,34.0
1958-12-31,33.56
1957-12-31,32.99
1956-12-31,33.46
1955-12-31,33.94
1954-12-31,33.64
1953-12-31,32.31
1952-12-31,33.21
1951-12-31,34.22
1950-12-31,35.56
1949-12-31,34.75
1948-12-31,35.01
1947-12-31,34.35
1946-12-31,36.7
1945-12-31,34.42
1944-12-31,32.51
1943-12-31,33.69
1942-12-31,36.13
1941-12-31,41.93
1940-12-31,45.29
1939-12-31,45.52
1938-12-31,44.07
1937-12-31,44.23
1936-12-31,46.59
1935-12-31,44.49
1934-12-31,45.78
1933-12-31,45.6
1932-12-31,46.37
1931-12-31,44.54
1930-12-31,43.87
1929-12-31,46.71
1928-12-31,49.29
1927-12-31,46.67
1926-12-31,45.71
1925-12-31,46.35
1924-12-31,44.41
1923-12-31,41.46
1922-12-31,43.72
1921-12-31,43.18
1920-12-31,39.01
1919-12-31,40.32
1918-12-31,40.11
1917-12-31,40.51
1916-12-31,44.09516
1915-12-31,40.14463
1914-12-31,41.46909
1913-12-31,41.01238
1912-12-31,41.13226
1911-12-31,40.79544
1910-12-31,40.57851
